INSTNM,CITY,STABBR,CONTROL,UGDS,TUITIONFEE_IN,TUITIONFEE_OUT,PCTFLOAN,PCTPELL,MN_EARN_WNE_P10,MD_EARN_WNE_P10,ADM_RATE,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,UGDS
Southeastern Bible College,Birmingham,AL,2,170,11370,11370,0.7702,0.6398,36500,30300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170
Stillman College,Tuscaloosa,AL,2,1056,15865,15865,0.8992,0.8436,27900,25700,0.5901,0,0,0,0,0.0351,0,0,0,0.0526,0,0,0,0,0,0.0351,0.0614,0,0.1667,0.0088,0,0,0.1667,0,0,0,0,0.0877,0,0,0,0,0,0,0,0.0351,0.0263,0.2018,0.1228,1056
Talladega College,Talladega,AL,2,819,12509,12509,0.5956,0.5747,26400,25100,NULL,0,0,0,0,0.037,0,0.0494,0,0.0123,0,0,0,0,0,0.0617,0,0,0.0617,0,0,0,0,0,0,0,0,0.0617,0.0247,0.0494,0.0494,0,0,0,0,0.0617,0,0.4815,0.0494,819
H Councill Trenholm State Community College,Montgomery,AL,1,1230,3336,6048,0,0.5337,27400,23100,NULL,0,0,0,0,0,0.029,0.0476,0.0849,0,0,0.0683,0,0.0559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0186,0.058,0.0269,0.1449,0,0.4141,0.0518,0,1230
Troy University,Troy,AL,1,15025,7564,14092,0.6521,0.4537,38800,35600,0.4414,0,0.0007,0,0,0.0306,0,0.0418,0,0.0578,0,0.001,0.007,0,0,0.0108,0.1061,0,0.0278,0.0097,0,0,0.0275,0,0,0.0035,0,0.1534,0.1347,0.0456,0.0633,0,0,0,0,0.0136,0.0668,0.1788,0.0195,15025
Tuskegee University,Tuskegee,AL,2,2588,19570,19570,0.7639,0.63,41600,36800,0.4922,0.1315,0.0275,0.0398,0,0,0,0.0183,0,0.0153,0.159,0,0,0.0061,0,0.0336,0,0,0.0856,0.0122,0,0,0,0,0,0.0092,0,0.1131,0,0.0061,0.0398,0,0,0,0,0,0.052,0.2416,0.0092,2588
United States Sports Academy,Daphne,AL,2,90,NULL,NULL,0.4632,0.4,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,0,0.3793,0,0,0,0,0,0,0,0,0,0,0,0,0.6207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90
Bevill State Community College,Jasper,AL,1,3210,4290,7680,0,0.5639,29800,25900,NULL,0,0,0,0,0,0,0.0155,0.0247,0,0,0.0587,0,0.017,0,0,0.2117,0,0,0,0,0,0,0,0,0,0.0046,0,0,0,0,0.0278,0.017,0.0433,0.1515,0,0.3802,0.0479,0,3210
University of Alaska Anchorage,Anchorage,AK,1,12865,5494,16466,0.2647,0.2385,46600,42500,NULL,0,0.0066,0,0.0044,0.0084,0,0.0199,0.0062,0.0261,0.0381,0.0575,0.0058,0.0151,0.0031,0.0217,0.1328,0,0.0142,0.0066,0,0.0274,0.0124,0.0031,0,0.0111,0.0106,0.0398,0.019,0.0102,0.0297,0,0.0217,0.0297,0.0305,0.0186,0.1965,0.1554,0.0177,12865
Alaska Bible College,Palmer,AK,2,27,9300,9300,0.2857,0.3571,NULL,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27
University of Alaska Fairbanks,Fairbanks,AK,1,5536,5246,16238,0.255,0.2263,41500,36200,NULL,0,0.0386,0,0.004,0.0129,0,0.0089,0.0121,0.0225,0.0837,0.0346,0.0129,0.0242,0.0072,0.0153,0.0556,0,0.0354,0.0072,0,0.037,0,0.004,0,0.0193,0,0.0282,0.0644,0.0346,0.0201,0.0282,0.0443,0.0113,0.0008,0.0209,0.1538,0.1506,0.0072,5536
University of Alaska Southeast,Juneau,AK,1,1428,5901,16705,0.1996,0.1769,39200,37400,NULL,0,0.0307,0,0,0.0022,0,0.0044,0,0.0175,0.0022,0.0088,0,0,0,0.0197,0.1447,0,0.0351,0.0088,0,0.068,0.011,0,0,0,0,0,0.0899,0,0.0285,0.0395,0.0219,0.0373,0.011,0.0154,0.1096,0.2939,0,1428
Alaska Pacific University,Anchorage,AK,2,275,19610,19610,0.5297,0.3152,50400,47000,0.4207,0,0.061,0,0,0,0,0,0,0.061,0,0,0,0,0,0,0.1098,0,0.061,0,0,0.0366,0.1585,0,0,0.0366,0,0.0854,0,0.0854,0,0,0,0,0,0,0.0244,0.2805,0,275
AVTEC-Alaska's Institute of Technology,Seward,AK,1,889,NULL,NULL,0.0664,0.0737,42100,33500,NULL,0,0,0,0,0,0,0.0507,0.0878,0,0,0.0777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0203,0.1959,0.0845,0.027,0,0.3885,0.0676,0,889
Charter College-Anchorage,Anchorage,AK,3,3256,19532,19532,0.7503,0.8307,43700,39200,NULL,0,0,0,0,0,0,0.1097,0,0,0,0.0682,0,0,0.0341,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0527,0,0,0.0031,0,0.0422,0,0,0.6237,0.0663,0,3256
Alaska Career College,Anchorage,AK,3,479,NULL,NULL,0.786,0.7078,30600,28700,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245,0,0.7798,0.1957,0,479
Everest College-Phoenix,Phoenix,AZ,3,4102,12204,12204,0.7151,0.8291,29900,28600,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1499,0,0,0,0,0,0,0,0.7054,0.1292,0,4102
Collins College,Phoenix,AZ,3,83,NULL,NULL,0.8228,0.7205,30400,25700,NULL,0,0,0,0,0,0.014,0.0839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7902,0,0.1119,0,83
Empire Beauty School-Paradise Valley,Phoenix,AZ,3,25,NULL,NULL,0.5873,0.6349,23400,17800,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25
Empire Beauty School-Tucson,Tucson,AZ,3,126,NULL,NULL,0.6615,0.7962,22100,18200,NULL,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,126
Thunderbird School of Global Management,Glendale,AZ,2,1,NULL,NULL,0,0,161500,118900,NULL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
American Indian College Inc,Phoenix,AZ,2,89,11700,11700,0.5375,0.75,PrivacySuppressed,PrivacySuppressed,NULL,0,0,0,0,0,0,0,0,0.3636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1818,0,0,0,0,0,0,0,0,0,0,0,0,0.4545,0,89
